id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
154,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Crawdaunt,Bronzong,Conkeldurr,Dusclops,Reuniclus,Marowak,Jirachi,Bronzong
155,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Excadrill,Scizor,Magnezone,Gyarados,Froslass,Latios,Rotom-Wash,Excadrill
156,Breloom,Tyranitar,Jirachi,Gliscor,Starmie,Garchomp,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Tyranitar,Kyurem-Black
157,Haxorus,Aerodactyl,Lucario,Salamence,Magnezone,Latios,Excadrill,Toxicroak,Ferrothorn,Tornadus,Reuniclus,Politoed,Latios,Politoed
158,Forretress,Ninetales,Blissey,Heatran,Gliscor,Cresselia,Excadrill,Xatu,Chansey,Ninetales,Volcarona,Cresselia,Gliscor,Chansey
159,Kyurem,Scizor,Abomasnow,Heatran,Gliscor,Tentacruel,Gorebyss,Terrakion,Jirachi,Keldeo,Espeon,Dragonite,Scizor,Terrakion
160,Forretress,Abomasnow,Gastrodon,Latias,Blissey,Mandibuzz,Ferrothorn,Landorus-Therian,Reuniclus,Tentacruel,Politoed,Latios,Abomasnow,Latios
161,Thundurus-Therian,Excadrill,Tyranitar,Terrakion,Amoonguss,Slowbro,Starmie,Diglett,Ninetales,Volcarona,Heatran,Wobbuffet,Thundurus-Therian,Ninetales
162,Forretress,Breloom,Volcarona,Jirachi,Seismitoad,Politoed,Conkeldurr,Tyranitar,Terrakion,Jirachi,Mamoswine,Latios,Jirachi,Latios
163,Scizor,Gyarados,Jirachi,Starmie,Politoed,Azelf,Rotom-Wash,Empoleon,Seismitoad,Keldeo,Starmie,Politoed,Azelf,Rotom-Wash
164,Thundurus-Therian,Scizor,Toxicroak,Rotom-Wash,Ferrothorn,Politoed,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Jellicent,Ferrothorn,Landorus-Therian
165,Forretress,Abomasnow,Kyurem-Black,Alakazam,Dragonite,Jellicent,Ferrothorn,Jirachi,Tentacruel,Politoed,Dragonite,Latios,Jellicent,Politoed
166,Excadrill,Scizor,Celebi,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Kyurem-Black,Tornadus,Starmie,Politoed,Garchomp,Scizor,Kyurem-Black
167,Excadrill,Jirachi,Tornadus,Amoonguss,Politoed,Keldeo-Resolute,Thundurus-Therian,Toxicroak,Ferrothorn,Starmie,Politoed,Dragonite,Tornadus,Thundurus-Therian
168,Mew,Rotom-Wash,Tyranitar,Hydreigon,Landorus-Therian,Heatran,Bronzong,Conkeldurr,Tyranitar,Reuniclus,Infernape,Jellicent,Landorus-Therian,Infernape
169,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Excadrill,Ferrothorn,Gyarados,Starmie,Politoed,Dragonite,Hippowdon,Starmie
170,Kyurem-Black,Magnezone,Jirachi,Latias,Garchomp,Latios,Gengar,Rotom-Wash,Tyranitar,Reuniclus,Ferrothorn,Garchomp,Jirachi,Garchomp
171,Breloom,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Starmie,Kyurem-Black,Jirachi,Latias,Landorus-Therian,Kingdra,Landorus-Therian,Jirachi
172,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Thundurus-Therian,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Latios,Landorus-Therian,Landorus-Therian
173,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Rotom-Wash,Magnezone,Jirachi,Landorus-Therian,Mamoswine,Latios,Keldeo,Rotom-Wash
174,Gothitelle,Quagsire,Chansey,Tyranitar,Skarmory,Latios,Toxicroak,Celebi,Tyranitar,Jirachi,Gliscor,Politoed,Tyranitar,Tyranitar
175,Ferrothorn,Mamoswine,Tornadus,Keldeo,Tentacruel,Politoed,Excadrill,Rotom-Wash,Tyranitar,Latias,Landorus-Therian,Alakazam,Keldeo,Rotom-Wash
176,Aerodactyl,Breloom,Scizor,Starmie,Garchomp,Dragonite,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Aerodactyl,Politoed
177,Haxorus,Thundurus-Therian,Forretress,Heatran,Alakazam,Jellicent,Excadrill,Gengar,Scizor,Gyarados,Alakazam,Dragonite,Heatran,Excadrill
178,Breloom,Gengar,Skarmory,Jirachi,Latias,Mamoswine,Gorebyss,Terrakion,Jirachi,Keldeo,Espeon,Dragonite,Skarmory,Terrakion
179,Thundurus-Therian,Breloom,Scizor,Keldeo,Starmie,Politoed,Excadrill,Jirachi,Starmie,Politoed,Keldeo-Resolute,Dragonite,Breloom,Starmie
180,Gengar,Scizor,Skarmory,Garchomp,Keldeo-Resolute,Dragonite,Kyurem,Scizor,Landorus-Therian,Keldeo,Tentacruel,Politoed,Skarmory,Kyurem
181,Uxie,Mew,Lucario,Gyarados,Mamoswine,Cloyster,Thundurus-Therian,Toxicroak,Ferrothorn,Starmie,Politoed,Dragonite,Mew,Politoed
182,Mew,Rotom-Wash,Tyranitar,Landorus-Therian,Heatran,Ferrothorn,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Latios,Mew,Tyranitar
183,Slowking,Breloom,Tyranitar,Jirachi,Latias,Landorus-Therian,Kyurem,Ferrothorn,Gliscor,Tentacruel,Politoed,Latios,Latias,Kyurem
184,Alakazam,Breloom,Scizor,Keldeo,Garchomp,Froslass,Excadrill,Ferrothorn,Magnezone,Gyarados,Latias,Politoed,Froslass,Politoed
185,Excadrill,Breloom,Ninetales,Latias,Landorus-Therian,Heatran,Thundurus-Therian,Ferrothorn,Suicune,Tentacruel,Politoed,Latios,Landorus-Therian,Latios
186,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Gengar,Scizor,Kingdra,Ferrothorn,Donphan,Dragonite,Bronzong,Gengar
187,Excadrill,Tornadus,Mamoswine,Landorus-Therian,Amoonguss,Politoed,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Landorus-Therian,Garchomp
188,Excadrill,Rotom-Wash,Tyranitar,Landorus-Therian,Amoonguss,Mamoswine,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Reuniclus,Latios,Amoonguss,Rotom-Wash
189,Thundurus-Therian,Toxicroak,Ferrothorn,Tentacruel,Politoed,Virizion,Alakazam,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Latios,Virizion,Landorus-Therian
190,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Breloom,Tyranitar,Hydreigon,Landorus-Therian,Amoonguss,Slowbro,Landorus-Therian,Landorus-Therian
191,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Gastrodon-East,Excadrill,Hippowdon,Sigilyph,Skarmory,Jirachi,Ferrothorn,Hippowdon
192,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Reuniclus,Latios,Kyurem-Black,Volcarona,Jirachi,Starmie,Politoed,Dragonite,Jirachi,Kyurem-Black
193,Scizor,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Heatran,Thundurus-Therian,Ferrothorn,Magnezone,Sharpedo,Starmie,Politoed,Rotom-Wash,Ferrothorn
194,Breloom,Tyranitar,Skarmory,Gastrodon,Jirachi,Landorus-Therian,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Tyranitar,Politoed
195,Scizor,Ferrothorn,Alakazam,Politoed,Keldeo-Resolute,Dragonite,Sigilyph,Rotom-Wash,Landorus-Therian,Heatran,Ferrothorn,Latios,Politoed,Rotom-Wash
196,Excadrill,Tyranitar,Terrakion,Landorus-Therian,Amoonguss,Latios,Slowking,Hippowdon,Terrakion,Jirachi,Gliscor,Ferrothorn,Landorus-Therian,Ferrothorn
197,Breloom,Bronzong,Latias,Gliscor,Tentacruel,Politoed,Thundurus-Therian,Scizor,Tentacruel,Politoed,Garchomp,Keldeo-Resolute,Breloom,Thundurus-Therian
198,Chansey,Ferrothorn,Reuniclus,Gliscor,Tentacruel,Politoed,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Politoed,Bronzong
199,Hippowdon,Skarmory,Magnezone,Clefable,Alakazam,Latios,Abomasnow,Kyurem-Black,Reuniclus,Gliscor,Empoleon,Latios,Clefable,Kyurem-Black
200,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Breloom,Scizor,Toxicroak,Keldeo,Politoed,Rotom-Mow,Abomasnow,Keldeo
201,Rotom-Wash,Tyranitar,Hydreigon,Terrakion,Latias,Tornadus,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Terrakion,Tentacruel
202,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Excadrill,Rotom-Wash,Tyranitar,Latias,Landorus-Therian,Alakazam,Forretress,Tyranitar
203,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Hippowdon,Skarmory,Magnezone,Clefable,Alakazam,Latios,Latios,Hippowdon
204,Thundurus-Therian,Ferrothorn,Jirachi,Keldeo,Tentacruel,Politoed,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Tentacruel,Ferrothorn
205,Gengar,Scizor,Toxicroak,Skarmory,Salamence,Alakazam,Rotom-Wash,Tyranitar,Mienshao,Jirachi,Landorus-Therian,Latios,Skarmory,Jirachi
206,Hippowdon,Reuniclus,Alakazam,Ferrothorn,Rotom,Latios,Excadrill,Abomasnow,Skarmory,Blissey,Reuniclus,Latios,Hippowdon,Abomasnow
207,Thundurus-Therian,Gengar,Ferrothorn,Keldeo,Politoed,Latios,Togekiss,Dragonite,Kyurem-Black,Jirachi,Machamp,Cloyster,Politoed,Jirachi
208,Thundurus-Therian,Ferrothorn,Mamoswine,Tentacruel,Politoed,Latios,Abomasnow,Volcarona,Cloyster,Jirachi,Garchomp,Dragonite,Ferrothorn,Garchomp
209,Kyurem-Black,Salamence,Magnezone,Heatran,Alakazam,Latios,Thundurus-Therian,Ferrothorn,Mamoswine,Tentacruel,Politoed,Garchomp,Kyurem-Black,Thundurus-Therian
210,Tyranitar,Hydreigon,Skarmory,Amoonguss,Garchomp,Keldeo-Resolute,Kyurem-Black,Magnezone,Jirachi,Latias,Garchomp,Latios,Tyranitar,Kyurem-Black
211,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Excadrill,Tyranitar,Skarmory,Terrakion,Keldeo,Latios,Scizor,Skarmory
212,Kyurem-Black,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Jirachi,Latios
213,Xatu,Golurk,Terrakion,Jirachi,Keldeo,Ferrothorn,Excadrill,Xatu,Salamence,Volcarona,Ninetales,Heatran,Golurk,Ninetales
214,Haxorus,Uxie,Mew,Lucario,Gyarados,Mamoswine,Excadrill,Breloom,Zapdos,Celebi,Heatran,Azelf,Mamoswine,Azelf
215,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Tentacruel,Chansey,Dusclops,Skarmory,Ninetales,Cresselia,Rotom-Wash,Skarmory
216,Thundurus-Therian,Scizor,Ferrothorn,Tentacruel,Politoed,Dragonite,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Thundurus-Therian,Terrakion
217,Xatu,Forretress,Hippowdon,Quagsire,Chansey,Jellicent,Tyranitar,Landorus-Therian,Heatran,Ferrothorn,Keldeo-Resolute,Latios,Quagsire,Heatran
218,Hippowdon,Scizor,Magnezone,Terrakion,Latias,Latios,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Latias,Hippowdon
219,Excadrill,Zapdos,Tyranitar,Garchomp,Slowbro,Latios,Xatu,Excadrill,Ninetales,Volcarona,Victini,Cresselia,Latios,Ninetales
220,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Celebi,Kyurem-Black,Magnezone,Jirachi,Keldeo-Resolute,Latios,Hippowdon,Celebi
221,Kyurem,Excadrill,Ferrothorn,Tornadus,Politoed,Latios,Excadrill,Breloom,Tyranitar,Landorus-Therian,Heatran,Amoonguss,Kyurem,Tyranitar
222,Xatu,Excadrill,Chansey,Skarmory,Dugtrio,Slowbro,Kyurem,Celebi,Jirachi,Landorus-Therian,Tentacruel,Politoed,Xatu,Politoed
223,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,Latios,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Scizor,Abomasnow
224,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Scizor,Rotom-Wash,Tyranitar,Terrakion,Garchomp,Latios,Ferrothorn,Rotom-Wash
225,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Jellicent,Breloom,Rotom-Wash,Tyranitar,Reuniclus,Ferrothorn,Garchomp,Heatran,Rotom-Wash
226,Alakazam,Tyranitar,Skarmory,Gastrodon,Gliscor,Latios,Scizor,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Gliscor,Garchomp
227,Abomasnow,Salamence,Jirachi,Starmie,Mamoswine,Cloyster,Ferrothorn,Kyurem-Black,Landorus-Therian,Alakazam,Tentacruel,Politoed,Jirachi,Politoed
228,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Tyranitar,Skarmory,Jellicent,Heatran,Alakazam,Latios,Jirachi,Heatran
229,Ferrothorn,Tornadus,Starmie,Politoed,Keldeo-Resolute,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,Latios,Politoed,Mamoswine
230,Xatu,Excadrill,Ninetales,Volcarona,Porygon2,Dragonite,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Dragonite,Politoed
231,Thundurus-Therian,Ferrothorn,Mamoswine,Keldeo,Tentacruel,Politoed,Breloom,Scizor,Alakazam,Starmie,Garchomp,Dragonite,Politoed,Breloom
232,Gothitelle,Forretress,Chansey,Ninetales,Dugtrio,Cresselia,Gothitelle,Forretress,Chansey,Ninetales,Dugtrio,Cresselia,Ninetales,Gothitelle
233,Xatu,Forretress,Hippowdon,Quagsire,Chansey,Jellicent,Kyurem,Abomasnow,Empoleon,Volcarona,Starmie,Mamoswine,Hippowdon,Empoleon
234,Starmie,Tyranitar,Skarmory,Heatran,Alakazam,Amoonguss,Gengar,Scizor,Toxicroak,Skarmory,Alakazam,Dragonite,Starmie,Skarmory
235,Excadrill,Breloom,Ninetales,Latias,Landorus-Therian,Heatran,Skarmory,Mienshao,Latias,Reuniclus,Clefable,Gliscor,Ninetales,Gliscor
236,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Toxicroak,Hydreigon,Magnezone,Volcarona,Gliscor,Politoed,Forretress,Politoed
237,Excadrill,Breloom,Zapdos,Celebi,Heatran,Azelf,Thundurus-Therian,Scizor,Ferrothorn,Garchomp,Keldeo-Resolute,Latios,Zapdos,Ferrothorn
238,Kyurem,Abomasnow,Skarmory,Weavile,Starmie,Jellicent,Scizor,Rotom-Wash,Tyranitar,Alakazam,Garchomp,Jellicent,Kyurem,Rotom-Wash
239,Thundurus-Therian,Scizor,Toxicroak,Ferrothorn,Jirachi,Politoed,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Thundurus-Therian,Chansey
240,Hippowdon,Scizor,Hydreigon,Terrakion,Keldeo,Amoonguss,Ferrothorn,Jirachi,Blissey,Gliscor,Tentacruel,Politoed,Amoonguss,Gliscor
241,Breloom,Skarmory,Jirachi,Alakazam,Garchomp,Jellicent,Excadrill,Tyranitar,Salamence,Magnezone,Seismitoad,Slowbro,Skarmory,Magnezone
242,Kyurem-Black,Terrakion,Jirachi,Starmie,Garchomp,Latios,Zapdos,Tyranitar,Landorus-Therian,Heatran,Alakazam,Clefable,Garchomp,Zapdos
243,Ninetales,Blissey,Heatran,Cresselia,Donphan,Latios,Excadrill,Zapdos,Tyranitar,Terrakion,Blissey,Slowbro,Donphan,Slowbro
244,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,Latios,Breloom,Jirachi,Landorus-Therian,Starmie,Politoed,Keldeo-Resolute,Kyurem-Black,Politoed
245,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Celebi,Ferrothorn,Terrakion,Landorus-Therian,Tentacruel,Politoed,Jirachi,Celebi
246,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,,
247,Uxie,Mew,Lucario,Gyarados,Mamoswine,Cloyster,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Mew,Tornadus
248,Excadrill,Tyranitar,Slowbro,Keldeo,Ferrothorn,Dragonite,Excadrill,Zapdos,Milotic,Tyranitar,Gliscor,Amoonguss,Dragonite,Tyranitar
249,Breloom,Kyurem-Black,Ferrothorn,Jirachi,Politoed,Keldeo-Resolute,Scizor,Rotom-Wash,Tyranitar,Landorus-Therian,Keldeo,Latios,Ferrothorn,Latios
250,Thundurus-Therian,Ferrothorn,Tornadus,Keldeo,Tentacruel,Politoed,Excadrill,Sableye,Mienshao,Blissey,Alakazam,Honchkrow,Politoed,Sableye
251,Xatu,Rotom-Wash,Hitmontop,Ninetales,Porygon2,Heatran,Thundurus-Therian,Breloom,Jirachi,Tentacruel,Politoed,Keldeo-Resolute,Rotom-Wash,Politoed
252,Alakazam,Tyranitar,Gliscor,Keldeo,Ferrothorn,Latios,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Ferrothorn,Ferrothorn
253,Breloom,Kyurem-Black,Skarmory,Volcarona,Dragonite,Latios,Bronzong,Conkeldurr,Tyranitar,Reuniclus,Infernape,Jellicent,Volcarona,Infernape
254,Excadrill,Gengar,Chansey,Garchomp,Skarmory,Lapras,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Lapras,Rotom-Wash
255,Omastar,Conkeldurr,Gyarados,Jirachi,Dugtrio,Latios,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Dugtrio,Forretress
256,Alakazam,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Latios,Forretress,Breloom,Abomasnow,Kyurem-Black,Mamoswine,Mandibuzz,Keldeo,Breloom
257,Alakazam,Tyranitar,Skarmory,Gastrodon,Reuniclus,Gliscor,Rotom-Wash,Tyranitar,Landorus-Therian,Ferrothorn,Garchomp,Latios,Alakazam,Rotom-Wash
258,Kyurem,Excadrill,Slowking,Abomasnow,Magnezone,Gliscor,Alakazam,Gengar,Garbodor,Jirachi,Keldeo,Garchomp,Abomasnow,Garchomp
259,Thundurus-Therian,Ferrothorn,Jirachi,Tentacruel,Politoed,Latios,Tyranitar,Gastrodon,Terrakion,Jirachi,Latias,Landorus-Therian,Jirachi,Tyranitar
260,Tyranitar,Skarmory,Terrakion,Reuniclus,Garchomp,Jellicent,Breloom,Tyranitar,Magnezone,Jirachi,Reuniclus,Garchomp,Garchomp,Jirachi
261,Salamence,Gyarados,Krookodile,Scrafty,Honchkrow,Heracross,Excadrill,Xatu,Chansey,Ninetales,Volcarona,Cresselia,Scrafty,Ninetales
262,Abomasnow,Volcarona,Jirachi,Starmie,Mamoswine,Dragonite,Empoleon,Magnezone,Starmie,Politoed,Garchomp,Latios,Mamoswine,Garchomp
263,Tyranitar,Landorus-Therian,Clefable,Ferrothorn,Keldeo-Resolute,Latios,Excadrill,Tyranitar,Celebi,Skarmory,Meloetta,Landorus-Therian,Clefable,Landorus-Therian
264,Ferrothorn,Mamoswine,Tornadus,Keldeo,Tentacruel,Politoed,Scizor,Rotom-Wash,Jirachi,Keldeo,Garchomp,Dragonite,Mamoswine,Jirachi
265,Forretress,Chansey,Latios,Reuniclus,Gliscor,Jellicent,Excadrill,Zapdos,Tyranitar,Blissey,Slowbro,Latios,Jellicent,Latios
266,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Xatu,Chansey,Rotom-Wash,Volcarona,Ninetales,Cloyster,Kyurem-Black,Ninetales
267,Excadrill,Breloom,Zapdos,Celebi,Heatran,Azelf,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Azelf,Scizor
268,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Excadrill,Breloom,Jirachi,Latias,Landorus-Therian,Seismitoad,Politoed,Breloom
269,Excadrill,Ferrothorn,Gyarados,Starmie,Politoed,Dragonite,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Politoed,Latios
270,Chansey,Celebi,Skarmory,Tangrowth,Tentacruel,Politoed,Moltres,Tentacruel,Jirachi,Tornadus,Amoonguss,Politoed,Chansey,Amoonguss
271,Excadrill,Ferrothorn,Hydreigon,Keldeo,Politoed,Latios,Kyurem,Scizor,Mew,Landorus-Therian,Tentacruel,Politoed,Keldeo,Mew
272,Crawdaunt,Bronzong,Terrakion,Chandelure,Porygon2,Reuniclus,Excadrill,Rotom-Wash,Tyranitar,Latias,Landorus-Therian,Alakazam,Terrakion,Tyranitar
273,Thundurus-Therian,Ferrothorn,Gyarados,Latias,Tentacruel,Politoed,Excadrill,Toxicroak,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Tyranitar
274,Tyranitar,Skarmory,Landorus-Therian,Reuniclus,Alakazam,Jellicent,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Jellicent,Magnezone
275,Scizor,Cobalion,Salamence,Starmie,Mamoswine,Dragonite,Excadrill,Slowking,Tyranitar,Terrakion,Gliscor,Garchomp,Cobalion,Garchomp
276,Gengar,Scizor,Ferrothorn,Garchomp,Keldeo-Resolute,Latios,Excadrill,Scizor,Gyarados,Vaporeon,Latias,Politoed,Ferrothorn,Politoed
277,Xatu,Quagsire,Chansey,Sableye,Tentacruel,Ferrothorn,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Latios,Ferrothorn,Garchomp
278,Moltres,Rotom-Wash,Ferrothorn,Gliscor,Tentacruel,Politoed,Thundurus-Therian,Ferrothorn,Jirachi,Tornadus,Tentacruel,Politoed,Ferrothorn,Jirachi
279,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Breloom,Tyranitar,Skarmory,Landorus-Therian,Heatran,Jellicent,Rotom-Wash,Breloom
280,Breloom,Scizor,Tyranitar,Hydreigon,Landorus-Therian,Alakazam,Magnezone,Jirachi,Landorus-Therian,Starmie,Amoonguss,Dragonite,Breloom,Jirachi
281,Scizor,Rotom-Wash,Tyranitar,Landorus-Therian,Keldeo,Latios,Starmie,Tyranitar,Reuniclus,Heatran,Gliscor,Amoonguss,Landorus-Therian,Amoonguss
282,Excadrill,Breloom,Ninetales,Latias,Landorus-Therian,Heatran,Excadrill,Rotom-Wash,Tyranitar,Tangrowth,Landorus-Therian,Garchomp,Landorus-Therian,Rotom-Wash
283,Excadrill,Chansey,Rotom-Wash,Ninetales,Victini,Cresselia,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Heatran,Latios,Excadrill,Tyranitar
284,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Ditto,Breloom,Skarmory,Jirachi,Garchomp,Jellicent,Politoed,Skarmory
285,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Gengar,Dragonite,Hitmontop,Magnezone,Blissey,Cloyster,Latios,Cloyster
286,Hippowdon,Gengar,Rotom-Wash,Terrakion,Jirachi,Latias,Rotom-Wash,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Rotom-Wash,Rotom-Wash
287,Mew,Tyranitar,Skarmory,Heatran,Keldeo,Amoonguss,Gengar,Scizor,Skarmory,Salamence,Starmie,Dragonite,Mew,Skarmory
288,Chansey,Ferrothorn,Jirachi,Gliscor,Politoed,Jellicent,Excadrill,Rotom-Wash,Ninetales,Volcarona,Blissey,Cresselia,Chansey,Ninetales
289,Thundurus-Therian,Ferrothorn,Starmie,Politoed,Garchomp,Latios,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Politoed,Kyurem-Black
290,Tyranitar,Skarmory,Gliscor,Gastrodon,Reuniclus,Alakazam,Bronzong,Zapdos,Toxicroak,Weavile,Infernape,Donphan,Gliscor,Zapdos
291,Infernape,Skarmory,Jirachi,Politoed,Garchomp,Latios,Gastrodon,Jirachi,Landorus-Therian,Tentacruel,Politoed,Dragonite,Infernape,Politoed
292,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Scizor,Salamence,Magnezone,Starmie,Mamoswine,Dragonite,Hippowdon,Mamoswine
293,Tyranitar,Skarmory,Gastrodon,Landorus-Therian,Reuniclus,Alakazam,Crawdaunt,Bronzong,Terrakion,Chandelure,Porygon2,Reuniclus,Landorus-Therian,Terrakion
294,Thundurus-Therian,Conkeldurr,Umbreon,Ferrothorn,Politoed,Slowbro,Tyranitar,Landorus-Therian,Clefable,Ferrothorn,Keldeo-Resolute,Latios,Slowbro,Latios
295,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Scizor,Tyranitar,Tangrowth,Skarmory,Heatran,Jellicent,Breloom,Heatran
296,Breloom,Scizor,Volcarona,Starmie,Mamoswine,Dragonite,Hippowdon,Skarmory,Terrakion,Blissey,Alakazam,Starmie,Breloom,Terrakion
297,Gengar,Scizor,Mew,Toxicroak,Skarmory,Dragonite,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Skarmory,Tyranitar
298,Rotom-Wash,Celebi,Tyranitar,Terrakion,Jirachi,Gliscor,Scizor,Chansey,Gyarados,Landorus-Therian,Politoed,Keldeo-Resolute,Gliscor,Landorus-Therian
299,Excadrill,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Latios,Garchomp
300,Excadrill,Celebi,Tyranitar,Landorus-Therian,Heatran,Keldeo,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Keldeo,Keldeo
301,Aerodactyl,Scizor,Jirachi,Starmie,Garchomp,Dragonite,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Keldeo-Resolute,Aerodactyl,Rotom-Wash
302,Tyranitar,Skarmory,Reuniclus,Alakazam,Mamoswine,Jellicent,Bronzong,Hippowdon,Skarmory,Reuniclus,Clefable,Latios,Skarmory,Hippowdon
303,Starmie,Chansey,Sableye,Skarmory,Amoonguss,Garchomp,Stoutland,Roserade,Tyranitar,Landorus-Therian,Starmie,Ferrothorn,Amoonguss,Roserade
304,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,Latios,Tyranitar,Celebi,Latios,Landorus-Therian,Ferrothorn,Jellicent,Mamoswine,Landorus-Therian
305,Excadrill,Rotom-Wash,Kyurem-Black,Gliscor,Mamoswine,Latios,Gengar,Tyranitar,Gastrodon,Reuniclus,Landorus-Therian,Ferrothorn,Rotom-Wash,Landorus-Therian
306,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Ferrothorn,Vaporeon,Landorus-Therian,Tentacruel,Politoed,Latios,Ferrothorn,Ferrothorn
